Date,Time,0
2017-10-25 00:00:00,07:15:00,2
2017-10-25 00:00:00,07:20:00,2
2021-06-11 00:00:00,07:30:00,2
2019-10-15 00:00:00,06:45:00,1
2019-10-15 00:00:00,07:23:00,1
2019-10-15 00:00:00,06:40:00,1
2019-10-15 00:00:00,06:50:00,1
2020-04-12 00:00:00,09:55:00,1
2019-10-08 00:00:00,08:00:00,1
2020-05-06 00:00:00,08:10:00,1
2019-10-08 00:00:00,08:30:00,1
2019-10-08 00:00:00,08:20:00,1
2020-04-20 00:00:00,09:00:00,1
2019-10-08 00:00:00,08:40:00,1
2019-10-14 00:00:00,07:05:00,1
2020-04-19 00:00:00,8:50am,1
2019-10-12 00:00:00,08:05:00,1
2019-10-12 00:00:00,07:03:00,1
2020-04-28 00:00:00,6:20am,1
2019-10-13 00:00:00,07:10:00,1
2019-10-13 00:00:00,08:13:00,1
2020-05-01 00:00:00,08:00:00,1
2020-04-19 00:00:00,8:45am,1
2019-10-14 00:00:00,06:40:00,1
2020-04-19 00:00:00,09:10:00,1
2020-05-02 00:00:00,8:40am,1
2020-05-01 00:00:00,08:25:00,1
2019-10-14 00:00:00,07:07:00,1
2020-04-18 00:00:00,08:40:00,1
2019-10-12 00:00:00,06:56:00,1
2019-10-14 00:00:00,07:25:00,1
2019-10-13 00:00:00,06:57:00,1
2019-10-15 00:00:00,06:25:00,1
2019-10-09 00:00:00,06:35:00,1
2019-10-15 00:00:00,06:30:00,1
2019-10-27 00:00:00,07:14:00,1
2020-03-29 00:00:00,07:45:00,1
2020-04-04 00:00:00,07:00:00,1
2019-11-03 00:00:00,06:30:00,1
2019-10-23 00:00:00,07:00:00,1
2019-11-02 00:00:00,07:40:00,1
2019-11-01 00:00:00,07:20:00,1
2019-10-29 00:00:00,08:00:00,1
2019-10-23 00:00:00,08:45:00,1
2019-10-24 00:00:00,06:42:00,1
2019-10-24 00:00:00,07:23:00,1
2019-10-24 00:00:00,07:30:00,1
2019-10-24 00:00:00,07:55:00,1
2019-10-24 00:00:00,09:00:00,1
2019-10-29 00:00:00,07:30:00,1
2019-10-29 00:00:00,06:45:00,1
2019-10-25 00:00:00,07:32:00,1
2019-10-25 00:00:00,07:33:00,1
2019-10-25 00:00:00,07:38:00,1
2019-10-25 00:00:00,08:05:00,1
2019-10-28 00:00:00,09:10:00,1
2019-10-28 00:00:00,07:57:00,1
2019-10-25 00:00:00,08:29:00,1
2019-10-28 00:00:00,07:34:00,1
2019-10-28 00:00:00,07:30:00,1
2019-10-26 00:00:00,07:49:00,1
2019-10-28 00:00:00,07:27:00,1
2019-10-28 00:00:00,06:55:00,1
2019-10-27 00:00:00,07:47:00,1
2019-10-27 00:00:00,07:45:00,1
2019-10-26 00:00:00,08:12:00,1
2019-11-02 00:00:00,08:20:00,1
2019-11-03 00:00:00,06:35:00,1
2019-10-15 00:00:00,07:26:00,1
2019-11-05 00:00:00,07:00:00,1
2019-10-15 00:00:00,07:30:00,1
2019-10-15 00:00:00,07:35:00,1
2020-04-04 00:00:00,06:40:00,1
2019-10-15 00:00:00,08:10:00,1
2019-10-15 00:00:00,08:50:00,1
2019-10-16 00:00:00,06:15:00,1
2019-10-16 00:00:00,06:25:00,1
2019-10-16 00:00:00,07:15:00,1
2020-04-02 00:00:00,07:45:00,1
2020-03-29 00:00:00,08:00:00,1
2019-10-16 00:00:00,08:45:00,1
2019-10-16 00:00:00,11:30:00,1
2019-10-17 00:00:00,06:40:00,1
2019-10-17 00:00:00,07:00:00,1
2019-10-17 00:00:00,08:30:00,1
2019-10-18 00:00:00,07:20:00,1
2019-10-20 00:00:00,07:02:00,1
2020-03-26 00:00:00,10:00:00,1
2020-03-26 00:00:00,09:45:00,1
2020-03-20 00:00:00,10:00:00,1
2019-11-19 00:00:00,17:00:00,1
2019-10-20 00:00:00,07:20:00,1
2019-11-07 00:00:00,07:10:00,1
2019-11-05 00:00:00,07:15:00,1
2019-10-22 00:00:00,06:20:00,1
2019-10-22 00:00:00,07:15:00,1
2019-10-22 00:00:00,08:00:00,1
2019-10-26 00:00:00,07:52:00,1
2017-08-20 00:00:00,06:15:00,1
2019-10-08 00:00:00,07:10:00,1
2019-06-11 00:00:00,10:30:00,1
2019-08-29 00:00:00,05:15:00,1
2019-08-24 00:00:00, 8am,1
2019-08-23 00:00:00,05:50:00,1
2019-08-22 00:00:00,10:15:00,1
2019-08-22 00:00:00,08:20:00,1
2019-08-19 00:00:00,07:45:00,1
2019-08-19 00:00:00,06:55:00,1
2019-08-04 00:00:00,06:15:00,1
2019-06-14 00:00:00,06:45:00,1
2019-06-05 00:00:00,06:40:00,1
2019-08-29 00:00:00,06:30:00,1
2019-06-04 00:00:00,05:30:00,1
2019-06-04 00:00:00,05:20:00,1
2019-06-04 00:00:00,05:05:00,1
2019-06-02 00:00:00,06:00:00,1
2019-06-01 00:00:00,06:30:00,1
2019-06-01 00:00:00,06:00:00,1
2019-05-30 00:00:00,7:23am,1
2019-05-30 00:00:00, 5:40am,1
2019-05-30 00:00:00,14:00:00,1
2019-08-29 00:00:00,06:10:00,1
2019-08-29 00:00:00,06:35:00,1
2019-10-08 00:00:00,07:00:00,1
2019-08-30 00:00:00,08:12:00,1
2019-09-11 00:00:00,08:55:00,1
2019-09-11 00:00:00,08:30:00,1
2019-09-10 00:00:00,06:30:00,1
2019-09-08 00:00:00,08:25:00,1
2019-09-08 00:00:00,06:30:00,1
2019-09-06 00:00:00,08:26:00,1
2019-09-06 00:00:00,06:10:00,1
2019-09-05 00:00:00,07:15:00,1
2019-09-04 00:00:00,06:30:00,1
2019-08-30 00:00:00,07:59:00,1
2019-08-29 00:00:00,06:50:00,1
2019-08-30 00:00:00,07:48:00,1
2019-08-30 00:00:00,06:30:00,1
2019-08-30 00:00:00,06:10:00,1
2019-08-30 00:00:00,06:00:00,1
2019-08-30 00:00:00,05:45:00,1
2019-08-29 00:00:00,08:50:00,1
2019-08-29 00:00:00,08:40:00,1
2019-08-29 00:00:00,08:15:00,1
2019-08-29 00:00:00,07:20:00,1
2019-05-30 00:00:00,08:45:00,1
2019-05-30 00:00:00,07:35:00,1
2019-05-29 00:00:00,05:45:00,1
2019-05-23 00:00:00,07:06:00,1
2019-05-23 00:00:00,8:43am,1
2019-05-23 00:00:00,7am,1
2019-05-23 00:00:00,6:10am,1
2019-05-23 00:00:00,5:57am,1
2019-05-23 00:00:00,5:47am,1
2019-05-23 00:00:00,5:15am,1
2019-05-23 00:00:00,08:45:00,1
2019-05-23 00:00:00,08:26:00,1
2019-05-23 00:00:00,08:21:00,1
2019-05-23 00:00:00,06:35:00,1
2019-05-29 00:00:00,05:15:00,1
2019-05-23 00:00:00,06:27:00,1
2019-05-23 00:00:00,06:26:00,1
2019-05-23 00:00:00,06:22:00,1
2019-05-23 00:00:00,06:10:00,1
2019-05-23 00:00:00,05:53:00,1
2019-05-23 00:00:00,05:47:00,1
2019-05-23 00:00:00,05:36:00,1
2019-05-23 00:00:00,05:10:00,1
2019-05-22 00:00:00,13:00:00,1
2019-05-24 00:00:00,05:30:00,1
2019-05-24 00:00:00,05:45:00,1
2019-05-25 00:00:00,05:25:00,1
2019-05-25 00:00:00,06:00:00,1
2019-05-28 00:00:00,7am,1
2019-05-28 00:00:00,7:15am,1
2019-05-28 00:00:00,6:50am,1
2019-05-28 00:00:00,5:20am,1
2019-05-28 00:00:00,09:45:00,1
2019-05-28 00:00:00,07:00:00,1
2019-05-28 00:00:00,05:40:00,1
2019-05-27 00:00:00,15:30:00,1
2019-05-27 00:00:00,08:45:00,1
2019-05-27 00:00:00,05:20:00,1
2019-05-26 00:00:00,8:00am,1
2019-05-26 00:00:00,08:56:00,1
2019-05-26 00:00:00,06:25:00,1
2019-05-26 00:00:00,06:15:00,1
2019-05-25 00:00:00,6:35am,1
2019-05-25 00:00:00,07:08:00,1
2019-05-25 00:00:00,06:40:00,1
2019-05-25 00:00:00,06:25:00,1
2019-05-25 00:00:00,06:15:00,1
2019-09-11 00:00:00,09:00:00,1
2019-09-11 00:00:00,09:05:00,1
2019-09-11 00:00:00,09:09:00,1
2019-09-30 00:00:00,08:05:00,1
2019-10-03 00:00:00,06:35:00,1
2019-10-03 00:00:00,06:30:00,1
2019-10-02 00:00:00,07:25:00,1
2019-10-02 00:00:00,07:10:00,1
2019-10-02 00:00:00,06:58:00,1
2019-10-02 00:00:00,06:45:00,1
2019-10-01 00:00:00,07:16:00,1
2019-10-01 00:00:00,06:30:00,1
2019-09-30 00:00:00,14:00:00,1
2019-09-30 00:00:00,07:50:00,1
2019-09-26 00:00:00,06:20:00,1
2019-09-28 00:00:00,08:03:00,1
2019-09-27 00:00:00,08:12:00,1
2019-09-27 00:00:00,07:10:00,1
2019-09-26 00:00:00,17:00:00,1
2019-09-26 00:00:00,08:20:00,1
2019-09-26 00:00:00,07:45:00,1
2019-09-26 00:00:00,07:20:00,1
2019-09-26 00:00:00,07:00:00,1
2019-09-26 00:00:00,06:35:00,1
2019-10-04 00:00:00,06:45:00,1
2019-10-04 00:00:00,06:55:00,1
2019-10-04 00:00:00,07:00:00,1
2019-10-04 00:00:00,07:05:00,1
2019-10-08 00:00:00,06:58:00,1
2019-10-08 00:00:00,06:55:00,1
2019-10-08 00:00:00,06:50:00,1
2019-10-08 00:00:00,06:15:00,1
2019-10-07 00:00:00,07:13:00,1
2019-10-07 00:00:00,06:40:00,1
2019-10-06 00:00:00,07:45:00,1
2019-10-06 00:00:00,07:10:00,1
